,query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
1,query_1,TRUE,0.0045816327825797,4,312,3,0.00961538461538462,0.75,CORUM:317,CORUM,Dystrobrevin-syntrophin complex, brain-derived,13288,44,CORUM:0000000
2,query_1,TRUE,0.0499615315978759,2,312,2,0.00641025641025641,1,CORUM:1112,CORUM,Psd-Actn1 complex,13288,167,CORUM:0000000
3,query_1,TRUE,4.04195002949202e-08,551,312,44,0.141025641025641,0.0798548094373866,GO:0099536,GO:BP,synaptic signaling,13288,20016,GO:0007267
4,query_1,TRUE,6.07097318260007e-06,520,312,39,0.125,0.075,GO:0098916,GO:BP,anterograde trans-synaptic signaling,13288,19849,GO:0099537
5,query_1,TRUE,6.07097318260007e-06,520,312,39,0.125,0.075,GO:0007268,GO:BP,chemical synaptic transmission,13288,2847,GO:0098916
6,query_1,TRUE,8.52361422912472e-06,526,312,39,0.125,0.0741444866920152,GO:0099537,GO:BP,trans-synaptic signaling,13288,20017,GO:0099536
7,query_1,TRUE,8.85890898105495e-06,391,312,33,0.105769230769231,0.0843989769820972,GO:0050804,GO:BP,modulation of chemical synaptic transmission,13288,13928,c("GO:0007268", "GO:0099177")
8,query_1,TRUE,9.47202714529273e-06,392,312,33,0.105769230769231,0.0841836734693878,GO:0099177,GO:BP,regulation of trans-synaptic signaling,13288,19986,c("GO:0010646", "GO:0023051", "GO:0099537")
9,query_1,TRUE,3.26135613362676e-05,389,312,32,0.102564102564103,0.0822622107969152,GO:0050808,GO:BP,synapse organization,13288,13932,GO:0034330
10,query_1,TRUE,7.73067352365517e-05,1194,312,62,0.198717948717949,0.0519262981574539,GO:0051049,GO:BP,regulation of transport,13288,14131,c("GO:0006810", "GO:0032879")
11,query_1,TRUE,0.00014519106971532,1902,312,84,0.269230769230769,0.0441640378548896,GO:0065008,GO:BP,regulation of biological quality,13288,16683,GO:0065007
12,query_1,TRUE,0.000443752850370709,320,312,27,0.0865384615384615,0.084375,GO:0042391,GO:BP,regulation of membrane potential,13288,10641,GO:0065008
13,query_1,TRUE,0.00173935354418451,1451,312,67,0.21474358974359,0.0461750516884907,GO:0032879,GO:BP,regulation of localization,13288,8247,c("GO:0050789", "GO:0051179")
14,query_1,TRUE,0.00191523725695939,1028,312,53,0.169871794871795,0.051556420233463,GO:0007267,GO:BP,cell-cell signaling,13288,2846,c("GO:0007154", "GO:0023052")
15,query_1,TRUE,0.00197063473219433,638,312,39,0.125,0.061128526645768,GO:0051050,GO:BP,positive regulation of transport,13288,14132,c("GO:0006810", "GO:0048518", "GO:0051049")
16,query_1,TRUE,0.0143843034722375,554,312,34,0.108974358974359,0.0613718411552347,GO:0034330,GO:BP,cell junction organization,13288,8964,GO:0016043
17,query_1,TRUE,0.0233328506952771,68,312,11,0.0352564102564103,0.161764705882353,GO:0035418,GO:BP,protein localization to synapse,13288,9451,GO:1902414
18,query_1,TRUE,0.032749724830393,739,312,40,0.128205128205128,0.054127198917456,GO:0050877,GO:BP,nervous system process,13288,13987,GO:0003008
19,query_1,TRUE,0.0451589517785683,24,312,7,0.0224358974358974,0.291666666666667,GO:0099633,GO:BP,protein localization to postsynaptic specialization membrane,13288,20076,c("GO:0033365", "GO:1903539")
20,query_1,TRUE,0.0451589517785683,24,312,7,0.0224358974358974,0.291666666666667,GO:0099645,GO:BP,neurotransmitter receptor localization to postsynaptic specialization membrane,13288,20086,c("GO:0097120", "GO:0099072", "GO:0099633")
21,query_1,TRUE,0.047620710196985,1137,312,53,0.169871794871795,0.0466138962181179,GO:0003008,GO:BP,system process,13288,1473,GO:0032501
22,query_1,TRUE,3.02451846677691e-13,1167,312,78,0.25,0.0668380462724936,GO:0045202,GO:CC,synapse,13288,2145,GO:0030054
23,query_1,TRUE,1.48618949174751e-11,442,312,44,0.141025641025641,0.0995475113122172,GO:0098978,GO:CC,glutamatergic synapse,13288,3323,GO:0045202
24,query_1,TRUE,2.38835536503201e-11,1568,312,89,0.28525641025641,0.0567602040816327,GO:0030054,GO:CC,cell junction,13288,871,GO:0110165
25,query_1,TRUE,4.23710087542972e-11,624,312,52,0.166666666666667,0.0833333333333333,GO:0098794,GO:CC,postsynapse,13288,3264,c("GO:0045202", "GO:0110165")
26,query_1,TRUE,2.78367046698212e-08,355,312,35,0.112179487179487,0.0985915492957746,GO:0099572,GO:CC,postsynaptic specialization,13288,3382,c("GO:0043226", "GO:0098794")
27,query_1,TRUE,1.77704570842664e-07,769,312,52,0.166666666666667,0.0676202860858258,GO:0036477,GO:CC,somatodendritic compartment,13288,1723,GO:0110165
