,query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
1,query_1,TRUE,0.00501666371549886,4,342,3,0.0087719298245614,0.75,CORUM:317,CORUM,Dystrobrevin-syntrophin complex, brain-derived,13288,44,CORUM:0000000
2,query_1,TRUE,0.0499646069613,2,342,2,0.00584795321637427,1,CORUM:1112,CORUM,Psd-Actn1 complex,13288,167,CORUM:0000000
3,query_1,TRUE,2.36663946734911e-10,551,342,50,0.146198830409357,0.0907441016333938,GO:0099536,GO:BP,synaptic signaling,13288,20016,GO:0007267
4,query_1,TRUE,1.37652164782746e-07,520,342,44,0.128654970760234,0.0846153846153846,GO:0098916,GO:BP,anterograde trans-synaptic signaling,13288,19849,GO:0099537
5,query_1,TRUE,1.37652164782746e-07,520,342,44,0.128654970760234,0.0846153846153846,GO:0007268,GO:BP,chemical synaptic transmission,13288,2847,GO:0098916
6,query_1,TRUE,2.03182922515604e-07,526,342,44,0.128654970760234,0.0836501901140684,GO:0099537,GO:BP,trans-synaptic signaling,13288,20017,GO:0099536
7,query_1,TRUE,1.44320969494032e-06,391,342,36,0.105263157894737,0.0920716112531969,GO:0050804,GO:BP,modulation of chemical synaptic transmission,13288,13928,c("GO:0007268", "GO:0099177")
8,query_1,TRUE,1.55278292928196e-06,392,342,36,0.105263157894737,0.0918367346938776,GO:0099177,GO:BP,regulation of trans-synaptic signaling,13288,19986,c("GO:0010646", "GO:0023051", "GO:0099537")
9,query_1,TRUE,2.1385128867974e-05,389,342,34,0.0994152046783626,0.0874035989717224,GO:0050808,GO:BP,synapse organization,13288,13932,GO:0034330
10,query_1,TRUE,0.000177652841008348,1028,342,59,0.172514619883041,0.0573929961089494,GO:0007267,GO:BP,cell-cell signaling,13288,2846,c("GO:0007154", "GO:0023052")
11,query_1,TRUE,0.00141300702987649,1902,342,87,0.254385964912281,0.0457413249211356,GO:0065008,GO:BP,regulation of biological quality,13288,16683,GO:0065007
12,query_1,TRUE,0.0016889405516812,554,342,38,0.111111111111111,0.0685920577617329,GO:0034330,GO:BP,cell junction organization,13288,8964,GO:0016043
13,query_1,TRUE,0.00293012661768826,1194,342,62,0.181286549707602,0.0519262981574539,GO:0051049,GO:BP,regulation of transport,13288,14131,c("GO:0006810", "GO:0032879")
14,query_1,TRUE,0.00695203851715854,68,342,12,0.0350877192982456,0.176470588235294,GO:0035418,GO:BP,protein localization to synapse,13288,9451,GO:1902414
15,query_1,TRUE,0.00839265166819012,9965,342,295,0.862573099415205,0.0296036126442549,GO:0009987,GO:BP,cellular process,13288,3869,GO:0008150
16,query_1,TRUE,0.0138841024420794,1451,342,69,0.201754385964912,0.0475534114403859,GO:0032879,GO:BP,regulation of localization,13288,8247,c("GO:0050789", "GO:0051179")
17,query_1,TRUE,0.0274246299067897,495,342,33,0.0964912280701754,0.0666666666666667,GO:0007610,GO:BP,behavior,13288,3120,GO:0032501
18,query_1,TRUE,0.030163343058235,40,342,9,0.0263157894736842,0.225,GO:0062237,GO:BP,protein localization to postsynapse,13288,16675,GO:0035418
19,query_1,TRUE,0.030163343058235,40,342,9,0.0263157894736842,0.225,GO:1903539,GO:BP,protein localization to postsynaptic membrane,13288,24031,c("GO:0062237", "GO:0072657", "GO:1990778")
20,query_1,TRUE,0.0379227642891397,79,342,12,0.0350877192982456,0.151898734177215,GO:0035249,GO:BP,synaptic transmission, glutamatergic,13288,9347,GO:0007268
21,query_1,TRUE,3.58673957954588e-13,624,342,58,0.169590643274854,0.092948717948718,GO:0098794,GO:CC,postsynapse,13288,3264,c("GO:0045202", "GO:0110165")
22,query_1,TRUE,6.2627963835908e-13,1167,342,82,0.239766081871345,0.0702656383890317,GO:0045202,GO:CC,synapse,13288,2145,GO:0030054
23,query_1,TRUE,1.39867992313684e-10,1568,342,93,0.271929824561404,0.0593112244897959,GO:0030054,GO:CC,cell junction,13288,871,GO:0110165
24,query_1,TRUE,4.4146503733273e-09,769,342,58,0.169590643274854,0.0754226267880364,GO:0036477,GO:CC,somatodendritic compartment,13288,1723,GO:0110165
25,query_1,TRUE,7.93579321874481e-09,364,342,38,0.111111111111111,0.104395604395604,GO:0098984,GO:CC,neuron to neuron synapse,13288,3329,GO:0045202
26,query_1,TRUE,9.62616001214098e-09,442,342,42,0.12280701754386,0.0950226244343891,GO:0098978,GO:CC,glutamatergic synapse,13288,3323,GO:0045202
27,query_1,TRUE,1.65506075271298e-08,336,342,36,0.105263157894737,0.107142857142857,GO:0032279,GO:CC,asymmetric synapse,13288,1285,GO:0098984
28,query_1,TRUE,1.78386412091137e-08,355,342,37,0.108187134502924,0.104225352112676,GO:0099572,GO:CC,postsynaptic specialization,13288,3382,c("GO:0043226", "GO:0098794")
29,query_1,TRUE,3.39467891175338e-08,326,342,35,0.10233918128655,0.107361963190184,GO:0014069,GO:CC,postsynaptic density,13288,696,c("GO:0032279", "GO:0099572")
30,query_1,TRUE,4.8025575403066e-08,567,342,47,0.137426900584795,0.0828924162257496,GO:0030425,GO:CC,dendrite,13288,936,c("GO:0043005", "GO:0097447")
31,query_1,TRUE,5.45298155134769e-08,569,342,47,0.137426900584795,0.0826010544815466,GO:0097447,GO:CC,dendritic tree,13288,3012,c("GO:0036477", "GO:0043005")
32,query_1,TRUE,4.0066512681051e-06,346,342,33,0.0964912280701754,0.0953757225433526,GO:0097060,GO:CC,synaptic membrane,13288,2905,c("GO:0045202", "GO:0098590")
33,query_1,TRUE,9.53164548967173e-06,1108,342,65,0.190058479532164,0.0586642599277978,GO:0043005,GO:CC,neuron projection,13288,1850,GO:0120025
34,query_1,TRUE,1.67420688121935e-05,234,342,26,0.0760233918128655,0.111111111111111,GO:0045211,GO:CC,postsynaptic membrane,13288,2146,c("GO:0097060", "GO:0098794")
35,query_1,TRUE,4.6232602737962e-05,10736,342,316,0.923976608187134,0.0294336810730253,GO:0110165,GO:CC,cellular anatomical entity,13288,3447,GO:0005575
36,query_1,TRUE,5.96705550965948e-05,163,342,21,0.0614035087719298,0.128834355828221,GO:0043197,GO:CC,dendritic spine,13288,1871,c("GO:0030425", "GO:0044309", "GO:0098794")
